etudiant01	5.5
etudiant02	4
etudiant03	2
etudiant04	18.5
etudiant05	2
etudiant06	11
etudiant07	1
etudiant08	1.5
etudiant09	10
etudiant10	14.5
etudiant11	1
etudiant12	7.5
etudiant13	1
etudiant14	15.5
etudiant15	12
etudiant16	17.5
etudiant17	9
etudiant18	20
etudiant19	20
etudiant20	20
etudiant21	2
etudiant22	16
etudiant23	8.5
etudiant24	16

